"Filepath","Optimistic","CPM","PERT","PERT.SD","PERT..99..","BB.2.Mean","BB.2.SD","BB.2..99..","Lognormal.Mean","Lognormal.SD","Lognormal..99..","Pessimistic","Sim.Min","Sim.Mean","Sim.SD","Sim.Mode","Sim.Median","Sim.Skewness","Sim.99.","Sim.Max","Sim.Time..Seconds.","source_file","a...ml..","b...ml..","Activity.Distribution","Number.of.Simulations","Number.of.Paths","Average.Nodes.Path","SP","LA","AD","TF"
"Set 1 SP_EV15",11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,46,46,15.348,28.032,3.907,15.348,27.826,0.275,37.693,44.365,1.82,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV16",12,24,26,3.52,34.31,27.333,3,34.41,27.302,6.419,48,48,18.101,30.52,3.668,18.101,30.318,0.279,39.604,46.448,1.954,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV17",9,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,36,36,14.326,24.942,2.994,14.326,24.869,0.119,31.951,35.724,2.472,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV18",10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,42,42,14.212,26.233,3.277,14.212,26.082,0.239,34.311,41.27,1.887,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV19",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,14.485,24.695,3.096,14.485,24.49,0.335,32.517,37.544,1.877,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV20",13,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,52,52,19.07,33.101,3.764,19.07,32.911,0.256,42.398,50.193,3.445,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV21",12,24,26,3.59,34.31,27.333,3,34.41,27.302,6.419,48,48,17.868,29.846,3.416,17.868,29.616,0.382,38.76,46.704,1.934,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV22",8,16,17.333,2.83,22.87,18.222,2,22.94,18.202,4.279,32,32,14.087,22.638,2.278,14.087,22.514,0.273,28.348,31.569,1.709,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV23",10,20,21.667,3.24,28.59,22.778,2.5,28.68,22.752,5.349,40,40,13.673,25.837,3.584,13.673,25.713,0.186,34.459,39.299,1.65,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV24",9,18,19.5,2.87,25.73,20.5,2.25,25.81,20.477,4.814,36,36,13.19,23.033,2.626,13.19,22.914,0.273,29.696,34.551,1.754,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV25",10,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40,40,14.836,25.757,3.356,14.836,25.532,0.328,34.219,39.564,1.649,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV26",12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,50,50,18.457,30.543,3.606,18.457,30.261,0.431,40.075,47.819,2.783,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV27",8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,34,34,14.06,22.807,2.444,14.06,22.665,0.321,29.085,33.289,1.867,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV28",13,26,28.167,3.76,37.17,29.611,3.25,37.28,29.578,6.954,52,52,16.906,30.584,4.41,16.906,30.287,0.329,41.567,49.57,1.884,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV29",10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42,42,14.787,25.542,3.119,14.787,25.335,0.368,33.638,41.045,1.918,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV30",10,20,21.667,3.06,28.59,22.778,2.5,28.68,22.752,5.349,40,40,13.427,23.984,3.377,13.427,23.744,0.335,32.417,38.342,1.696,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV31",11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,46,46,16.176,27.817,3.657,16.176,27.478,0.41,37.096,44.299,2.105,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV32",13,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52,52,16.497,30.433,4.582,16.497,30.176,0.299,41.695,49.464,2.028,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV33",11,22,23.833,3.57,31.45,25.056,2.75,31.55,25.027,5.884,44,44,15.517,27.279,3.564,15.517,27.032,0.356,36.393,42.686,2.062,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV34",11,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,44,44,19.027,29.268,2.75,19.027,29.169,0.2,36,42.768,2.267,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV35",7,14,15.167,2.15,20.02,15.944,1.75,20.07,15.926,3.744,28,28,10.711,17.98,2.145,10.711,17.838,0.285,23.245,26.949,1.587,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV36",10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,42,42,16.097,26.831,3.086,16.097,26.659,0.276,34.49,39.987,2.09,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV37",11,22,23.833,3.2,31.45,25.056,2.75,31.55,25.027,5.884,44,44,16.697,27.908,3.003,16.697,27.733,0.315,35.553,42.116,2.318,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV38",10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42,42,17.094,27.996,2.804,17.094,27.868,0.251,34.996,40.922,2.771,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV39",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,13.732,24.062,3.056,13.732,23.837,0.431,32.253,37.655,1.679,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV40",12,24,26,3.54,34.31,27.333,3,34.41,27.302,6.419,48,48,18.169,30.216,3.378,18.169,29.998,0.333,38.778,46.272,2.222,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV41",12,24,26,3.46,34.31,27.333,3,34.41,27.302,6.419,48,48,16.271,28.434,3.881,16.271,28.096,0.41,38.387,46.583,2.044,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV42",10,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40,40,14.237,24.962,3.366,14.237,24.67,0.46,33.908,39.288,1.752,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV43",9,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,36,36,13.983,24.022,3.08,13.983,23.875,0.234,31.479,35.601,1.774,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV44",12,24,26,3.52,34.31,27.333,3,34.41,27.302,6.419,48,48,16.85,28.821,3.737,16.85,28.406,0.49,38.557,46.058,2.805,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV45",12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,50,50,17.474,30.527,3.776,17.474,30.333,0.294,40.081,47.948,2.068,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV46",15,30,32.5,4.33,42.89,34.167,3.75,43.02,34.128,8.023,60,60,22.784,37.647,4.264,22.784,37.372,0.341,48.535,57.481,2.53,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV47",13.5,27,29.25,3.91,38.6,30.75,3.375,38.71,30.715,7.221,54,54,20.352,34.415,4.004,20.352,34.184,0.29,44.376,51.971,2.795,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV48",10.5,21,22.75,3.11,30.02,23.917,2.625,30.11,23.89,5.616,42,42,16.863,27.537,2.767,16.863,27.405,0.244,34.385,40.572,2.247,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV49",10,20,21.667,3.22,28.59,22.778,2.5,28.68,22.752,5.349,40,40,14.404,25.259,3.008,14.404,25.098,0.313,32.988,38.854,1.996,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV50",10,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40,40,13.734,24.937,3.388,13.734,24.583,0.508,33.962,39.544,2.022,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV51",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,15.505,25.045,2.976,15.505,24.751,0.426,32.693,37.6,2.024,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV52",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,14.113,24.388,3.044,14.113,24.158,0.385,32.291,37.373,2.027,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV53",12.5,25,27.083,3.61,35.74,28.472,3.125,35.85,28.44,6.686,50,50,18.123,30.613,3.848,18.123,30.418,0.269,40.142,48.098,1.964,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV54",9.5,19,20.583,2.97,27.16,21.639,2.375,27.24,21.614,5.081,38,38,13.695,23.959,3.159,13.695,23.77,0.268,31.581,36.795,1.941,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV55",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,13.258,23.619,3.509,13.258,23.293,0.406,32.484,37.605,1.584,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV56",10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42,42,17.156,28.041,2.783,17.156,27.949,0.18,34.826,40.929,2.142,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV57",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,14.292,24.36,3.007,14.292,24.157,0.38,32.253,37.55,1.706,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV58",12,24,26,3.46,34.31,27.333,3,34.41,27.302,6.419,48,48,16.172,29.26,3.563,16.172,29.07,0.323,38.4,45.603,2.015,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV59",10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42,42,14.492,26.237,3.113,14.492,26.061,0.292,34.013,40.549,1.934,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV60",13.5,27,29.25,3.91,38.6,30.75,3.375,38.71,30.715,7.221,54,54,19.871,33.899,4.21,19.871,33.647,0.295,44.386,52.73,1.782,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV61",13,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52,52,16.95,30.585,4.451,16.95,30.272,0.338,41.713,49.361,1.937,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV62",12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,50,50,18.447,31.493,3.787,18.447,31.336,0.223,40.704,48.061,2.165,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV63",12.5,25,27.083,3.75,35.74,28.472,3.125,35.85,28.44,6.686,50,50,15.937,29.864,4.207,15.937,29.561,0.334,40.378,47.738,1.931,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV64",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,15.915,26.388,2.941,15.915,26.296,0.135,33.233,37.261,2.157,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV65",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,12.227,22.649,3.687,12.227,22.208,0.503,32.266,37.686,1.603,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV66",9.5,19,20.583,2.77,27.16,21.639,2.375,27.24,21.614,5.081,38,38,15.713,25.655,2.639,15.713,25.551,0.21,32.144,36.897,1.803,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV67",9.5,19,20.583,3.09,27.16,21.639,2.375,27.24,21.614,5.081,38,38,11.692,23.096,3.479,11.692,22.929,0.239,31.44,37.031,1.622,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV68",8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,34,34,11.184,21.142,2.997,11.184,20.927,0.375,28.846,33.378,1.749,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV69",7.5,15,16.25,2.51,21.45,17.083,1.875,21.51,17.064,4.012,30,30,10.337,18.791,2.444,10.337,18.713,0.224,24.852,28.895,1.686,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV70",7.5,15,16.25,2.66,21.45,17.083,1.875,21.51,17.064,4.012,30,30,10.739,20.581,2.593,10.739,20.512,0.119,26.617,29.65,1.789,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV71",10,20,21.667,3.1,28.59,22.778,2.5,28.68,22.752,5.349,40,40,15.957,26.768,2.809,15.957,26.636,0.212,33.557,38.805,2.301,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV72",12,24,26,3.59,34.31,27.333,3,34.41,27.302,6.419,48,48,16.703,28.766,3.94,16.703,28.432,0.384,38.719,46.468,2.003,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV73",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38,38,12.742,23.716,3.202,12.742,23.395,0.509,32.277,37.581,2.194,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV74",11,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,44,44,15.102,26.6,3.497,15.102,26.366,0.354,35.489,41.841,2.316,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV75",12,24,26,3.52,34.31,27.333,3,34.41,27.302,6.419,48,48,16.288,29.352,3.7,16.288,29.087,0.354,38.786,45.553,2.681,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV76",12,24,26,3.59,34.31,27.333,3,34.41,27.302,6.419,48,48,19.105,31.128,3.311,19.105,30.985,0.228,39.217,45.647,2.53,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV77",8.5,17,18.417,2.7,24.3,19.361,2.125,24.38,19.339,4.547,34,34,13.178,21.947,2.567,13.178,21.806,0.26,28.221,32.539,2.126,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV78",11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,46,46,15.915,27.9,3.593,15.915,27.57,0.41,37.033,44.21,2.035,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV79",12,24,26,3.52,34.31,27.333,3,34.41,27.302,6.419,48,48,16.174,28.764,3.847,16.174,28.5,0.362,38.537,45.688,2.299,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV80",10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,42,42,17.255,27.878,2.832,17.255,27.778,0.175,34.719,40.082,2.139,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV81",11,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,44,44,17.769,28.047,2.91,17.769,27.883,0.307,35.408,42.097,2.256,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV82",10,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40,40,13.028,24.388,3.726,13.028,24.132,0.377,33.918,39.374,1.613,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV83",10,20,21.667,3.37,28.59,22.778,2.5,28.68,22.752,5.349,40,40,14.098,24.857,3.292,14.098,24.638,0.373,33.43,39.091,1.779,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV84",11,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,44,44,16.399,28.846,3.178,16.399,28.729,0.182,36.506,42.396,2.25,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV85",10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,42,42,14.245,26.431,3.511,14.245,26.307,0.193,34.912,39.925,1.621,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV86",12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,50,50,15.4,29.846,4.033,15.4,29.577,0.344,40.095,47.812,1.914,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV87",13,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52,52,20.041,33.041,3.586,20.041,32.869,0.259,41.961,49.979,2.068,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV88",11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,46,46,16.191,27.955,3.484,16.191,27.686,0.398,36.99,44.205,2.433,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV89",11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,46,46,17.177,28.446,3.342,17.177,28.257,0.304,36.824,43.437,2.106,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV90",11,22,23.833,3.34,31.45,25.056,2.75,31.55,25.027,5.884,44,44,14.522,26.103,3.779,14.522,25.787,0.382,35.642,42.263,1.91,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV91",12,24,26,3.52,34.31,27.333,3,34.41,27.302,6.419,48,48,14.022,28.139,4.275,14.022,27.958,0.218,38.502,45.848,1.77,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV92",9,18,19.5,3.02,25.73,20.5,2.25,25.81,20.477,4.814,36,36,14.842,25.009,2.724,14.842,24.919,0.149,31.461,35.287,2.076,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV93",8.5,17,18.417,2.93,24.3,19.361,2.125,24.38,19.339,4.547,34,34,12.91,22.869,2.768,12.91,22.765,0.188,29.551,33.636,2.18,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV94",8.5,17,18.417,2.86,24.3,19.361,2.125,24.38,19.339,4.547,34,34,13.452,23.174,2.599,13.452,23.074,0.211,29.55,33.359,1.903,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV95",7,14,15.167,2.57,20.02,15.944,1.75,20.07,15.926,3.744,28,28,10.735,18.551,2.326,10.735,18.304,0.452,24.514,27.595,2.331,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
