Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 2.2 AD (mid SP)_EV11,44.0,88,95.333,6.44,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,71.444,103.828,7.689,71.444,103.671,0.114,122.225,141.527,41.955,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV12,50.0,100,108.333,7.12,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,86.421,120.158,8.391,86.421,120.031,0.091,140.08,160.251,58.8,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV13,42.0,84,91.0,6.17,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,63.656,98.272,7.648,63.656,98.145,0.103,116.539,133.292,21.631,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV14,41.0,82,88.833,6.2,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,65.458,97.28,7.301,65.458,97.127,0.115,114.766,131.751,21.003,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV15,46.0,92,99.667,6.51,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,79.637,110.526,7.427,79.637,110.372,0.119,128.336,147.451,89.693,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV16,38.5,77,83.417,5.89,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,62.618,91.979,7.001,62.618,91.855,0.106,108.662,124.986,59.624,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV17,44.0,88,95.333,6.45,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,70.085,104.182,7.831,70.085,104.037,0.104,122.829,142.491,21.649,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV18,35.5,71,76.917,5.64,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142.0,55.042,83.302,6.963,55.042,83.163,0.111,99.888,119.866,8.208,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV19,46.5,93,100.75,6.98,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,78.783,111.971,8.07,78.783,111.814,0.12,131.294,148.884,36.169,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV20,45.0,90,97.5,6.64,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,74.178,106.38,7.886,74.178,106.195,0.133,125.383,143.18,130.612,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV21,46.0,92,99.667,6.6,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,70.679,107.322,8.239,70.679,107.179,0.098,126.927,147.085,9.845,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV22,33.0,66,71.5,4.85,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132.0,54.17,77.695,6.005,54.17,77.587,0.103,91.994,105.872,6.845,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV23,42.0,84,91.0,6.24,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,69.493,101.15,7.273,69.493,101.043,0.089,118.45,135.294,60.299,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV24,47.0,94,101.833,6.69,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,74.951,109.939,8.254,74.951,109.776,0.109,129.678,149.87,32.125,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV25,58.0,116,125.667,7.87,165.84,132.111,14.5,166.33,131.962,31.024,173.739,232.0,97.322,137.827,9.439,97.322,137.682,0.088,160.286,183.957,107.228,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV26,40.0,80,86.667,5.94,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,62.331,94.495,7.146,62.331,94.355,0.114,111.587,127.51,20.292,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV27,47.5,95,102.917,6.5,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190.0,75.568,110.819,8.097,75.568,110.699,0.092,130.08,149.878,10.871,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV28,43.5,87,94.25,6.18,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,74.496,105.031,7.233,74.496,104.911,0.1,122.233,139.652,72.115,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV29,58.5,117,126.75,7.9,167.27,133.25,14.625,167.76,133.099,31.291,175.236,234.0,93.316,136.495,9.859,93.316,136.361,0.085,159.925,184.353,7.882,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV30,39.0,78,84.5,5.88,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,61.99,91.393,7.184,61.99,91.246,0.122,108.604,129.538,8.114,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV31,50.0,100,108.333,6.92,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,82.321,117.106,8.428,82.321,116.94,0.117,137.325,160.818,55.497,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV32,47.0,94,101.833,6.64,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,79.575,111.078,7.918,79.575,110.935,0.11,130.015,149.366,51.173,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV33,39.5,79,85.583,5.77,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,62.604,92.167,7.195,62.604,92.033,0.107,109.359,129.318,2.7,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV34,39.5,79,85.583,5.99,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,63.745,95.422,7.088,63.745,95.296,0.102,112.345,128.136,36.357,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV35,37.5,75,81.25,5.91,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150.0,59.867,89.825,7.152,59.867,89.7,0.093,106.8,123.676,7.524,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV36,40.0,80,86.667,6.13,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,63.988,93.384,7.624,63.988,93.227,0.113,111.585,130.567,8.23,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV37,40.5,81,87.75,5.96,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,65.752,94.862,7.231,65.752,94.696,0.134,112.222,131.832,10.725,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV38,51.5,103,111.583,7.16,147.26,117.306,12.875,147.69,117.173,27.547,154.268,206.0,81.666,121.303,8.755,81.666,121.158,0.097,142.18,162.968,155.084,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV39,45.0,90,97.5,6.4,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,73.166,105.255,7.921,73.166,105.115,0.102,124.134,142.565,120.46,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV40,42.5,85,92.083,6.28,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,69.674,100.205,7.584,69.674,100.044,0.119,118.354,136.027,20.776,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV41,42.5,85,92.083,6.58,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,70.904,103.16,7.498,70.904,103.031,0.103,121.015,139.679,34.286,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV42,47.5,95,102.917,6.6,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190.0,79.605,111.367,8.037,79.605,111.218,0.107,130.584,152.108,9.968,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV43,40.0,80,86.667,6.08,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,63.653,94.664,7.312,63.653,94.527,0.107,112.124,128.16,8.161,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV44,48.5,97,105.083,7.03,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,78.275,115.576,8.367,78.275,115.423,0.103,135.552,155.123,125.602,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV45,38.0,76,82.333,5.65,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152.0,61.634,89.252,6.848,61.634,89.122,0.109,105.635,122.331,6.545,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV46,36.5,73,79.083,5.43,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146.0,62.439,87.706,6.473,62.439,87.556,0.134,103.247,118.598,46.129,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV47,50.5,101,109.417,7.21,144.4,115.028,12.625,144.82,114.898,27.012,151.272,202.0,82.262,118.557,8.704,82.262,118.364,0.121,139.429,158.724,32.601,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV48,38.0,76,82.333,5.88,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152.0,61.953,90.217,6.866,61.953,90.046,0.139,106.764,125.058,25.435,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV49,39.0,78,84.5,5.85,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,63.585,91.637,7.093,63.585,91.482,0.126,108.656,125.714,6.802,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV50,48.5,97,105.083,6.71,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,81.818,114.568,7.917,81.818,114.38,0.134,133.629,154.188,32.146,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV51,41.5,83,89.917,6.13,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,65.565,97.483,7.479,65.565,97.335,0.11,115.349,136.688,10.277,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV52,39.0,78,84.5,5.71,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,64.794,92.467,6.939,64.794,92.344,0.102,108.988,125.48,23.631,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV53,42.5,85,92.083,6.24,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,72.351,101.685,7.412,72.351,101.552,0.104,119.359,139.449,36.8,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV54,33.0,66,71.5,5.21,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132.0,51.638,77.964,6.391,51.638,77.812,0.128,93.27,108.646,9.993,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV55,51.0,102,110.5,6.99,145.83,116.167,12.75,146.26,116.035,27.28,152.77,204.0,82.136,119.726,8.601,82.136,119.565,0.106,140.229,161.501,8.225,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV56,50.0,100,108.333,6.94,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,82.779,117.072,8.52,82.779,116.919,0.104,137.354,161.376,31.985,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV57,34.5,69,74.75,5.41,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,56.595,82.238,6.351,56.595,82.108,0.119,97.403,113.686,12.064,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV58,42.5,85,92.083,6.2,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,67.016,99.77,7.683,67.016,99.647,0.098,118.099,136.13,7.031,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV59,47.0,94,101.833,6.62,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,77.218,110.532,8.073,77.218,110.399,0.095,129.739,148.795,10.757,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV60,39.5,79,85.583,5.65,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,66.18,94.033,6.538,66.18,93.868,0.137,109.828,125.057,24.644,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV61,44.5,89,96.417,6.52,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,75.541,105.688,7.709,75.541,105.528,0.117,124.14,142.59,52.13,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV62,46.5,93,100.75,6.51,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,74.505,108.519,8.12,74.505,108.398,0.091,127.862,147.25,5.318,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV63,31.5,63,68.25,4.67,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126.0,51.199,73.994,5.665,51.199,73.867,0.122,87.533,103.781,8.78,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV64,57.0,114,123.5,7.72,162.98,129.833,14.25,163.46,129.687,30.489,170.743,228.0,92.086,134.71,9.33,92.086,134.566,0.092,156.94,178.601,36.103,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV65,37.5,75,81.25,5.51,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150.0,59.144,87.686,6.818,59.144,87.56,0.104,103.949,120.409,7.762,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV66,40.5,81,87.75,6.33,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,67.334,97.493,7.564,67.334,97.377,0.091,115.428,132.356,28.981,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV67,36.5,73,79.083,5.67,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146.0,60.668,88.925,6.554,60.668,88.818,0.097,104.524,120.375,92.527,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV68,45.0,90,97.5,6.27,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,72.435,105.016,7.821,72.435,104.884,0.095,123.593,140.708,7.938,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV69,40.5,81,87.75,6.28,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,65.049,96.117,7.562,65.049,95.983,0.106,114.159,133.366,10.952,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV70,42.5,85,92.083,6.14,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,69.464,100.512,7.598,69.464,100.37,0.108,118.656,137.296,21.303,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV71,39.0,78,84.5,5.82,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,66.637,94.43,6.86,66.637,94.323,0.091,110.701,127.596,46.525,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV72,42.0,84,91.0,6.05,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,68.681,98.876,7.321,68.681,98.737,0.113,116.394,133.479,28.975,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV73,49.5,99,107.25,6.77,141.54,112.75,12.375,141.95,112.623,26.477,148.277,198.0,81.569,117.66,8.235,81.569,117.53,0.09,137.242,158.464,68.272,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV74,45.5,91,98.583,6.67,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,69.745,106.461,8.252,69.745,106.309,0.105,126.135,151.295,8.052,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV75,48.0,96,104.0,6.78,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,77.626,112.638,8.221,77.626,112.478,0.117,132.347,153.464,73.687,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV76,41.5,83,89.917,6.35,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,65.995,98.402,7.556,65.995,98.244,0.116,116.481,133.767,39.115,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV77,50.5,101,109.417,7.0,144.4,115.028,12.625,144.82,114.898,27.012,151.272,202.0,81.663,117.968,8.675,81.663,117.819,0.098,138.649,159.389,125.733,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV78,38.5,77,83.417,5.86,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,64.026,92.09,6.848,64.026,91.92,0.138,108.599,123.733,21.853,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV79,44.0,88,95.333,6.53,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,73.395,105.725,7.585,73.395,105.602,0.09,123.755,140.717,46.63,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV80,42.5,85,92.083,6.21,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,70.175,100.584,7.445,70.175,100.452,0.103,118.334,136.795,9.764,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV81,49.5,99,107.25,7.04,141.54,112.75,12.375,141.95,112.623,26.477,148.277,198.0,80.5,117.371,8.328,80.5,117.22,0.106,137.282,155.889,47.836,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV82,41.5,83,89.917,6.37,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,71.043,99.847,7.258,71.043,99.674,0.137,117.354,136.411,28.224,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV83,41.5,83,89.917,5.97,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,68.714,99.949,7.18,68.714,99.838,0.091,117.005,134.201,10.681,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV84,40.0,80,86.667,6.5,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,63.142,95.198,7.701,63.142,95.037,0.12,113.612,129.735,58.119,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV85,48.0,96,104.0,6.81,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,81.761,117.353,7.871,81.761,117.218,0.099,136.15,154.02,58.557,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV86,43.0,86,93.167,6.12,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,69.921,100.625,7.526,69.921,100.49,0.106,118.576,136.894,65.558,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV87,35.0,70,75.833,5.43,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140.0,54.912,82.107,6.668,54.912,81.972,0.116,98.03,112.693,9.111,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV88,37.5,75,81.25,5.55,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150.0,62.369,88.798,6.616,62.369,88.68,0.104,104.578,119.998,13.872,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV89,43.5,87,94.25,6.26,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,69.956,102.198,7.774,69.956,102.071,0.093,120.678,140.411,10.763,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV90,53.5,107,115.917,7.42,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214.0,87.854,126.058,9.097,87.854,125.904,0.098,147.767,168.898,27.757,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV91,44.5,89,96.417,6.63,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,67.037,103.84,8.269,67.037,103.7,0.099,123.527,145.437,6.648,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV92,50.5,101,109.417,6.96,144.4,115.028,12.625,144.82,114.898,27.012,151.272,202.0,86.948,121.618,8.286,86.948,121.488,0.09,141.307,161.759,139.117,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV93,46.5,93,100.75,6.61,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,77.274,110.996,7.736,77.274,110.857,0.101,129.425,148.165,183.292,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV94,40.0,80,86.667,6.28,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,67.342,97.047,7.172,67.342,96.931,0.098,114.122,130.718,22.052,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV95,50.5,101,109.417,7.15,144.4,115.028,12.625,144.82,114.898,27.012,151.272,202.0,85.215,121.219,8.355,85.215,121.094,0.086,141.09,162.692,70.428,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV96,48.0,96,104.0,7.0,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,78.984,113.413,8.511,78.984,113.259,0.1,133.697,156.088,68.053,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV97,37.0,74,80.167,5.56,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148.0,61.544,89.548,6.691,61.544,89.438,0.096,105.438,120.822,21.473,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV98,36.0,72,78.0,5.39,102.94,82.0,9.0,103.24,81.907,19.256,107.838,144.0,59.634,86.003,6.167,59.634,85.888,0.114,100.785,115.62,9.703,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV99,40.5,81,87.75,5.71,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,64.679,94.503,7.109,64.679,94.385,0.097,111.445,128.469,10.04,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV100,41.5,83,89.917,6.23,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,65.611,98.023,7.534,65.611,97.871,0.117,116.039,133.479,78.483,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV101,33.5,67,72.583,4.71,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134.0,55.336,78.916,5.788,55.336,78.834,0.085,92.628,108.841,11.646,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV102,41.0,82,88.833,6.19,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,64.11,95.912,7.662,64.11,95.764,0.109,114.178,133.462,3.422,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV103,40.0,80,86.667,5.94,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,65.772,95.764,7.186,65.772,95.655,0.092,112.85,130.347,6.401,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV104,39.5,79,85.583,6.18,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,62.876,93.654,7.397,62.876,93.513,0.109,111.35,129.532,2.453,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV105,38.5,77,83.417,5.61,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,60.084,90.07,6.976,60.084,89.946,0.101,106.691,126.336,13.656,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV106,36.0,72,78.0,5.39,102.94,82.0,9.0,103.24,81.907,19.256,107.838,144.0,57.984,84.006,6.711,57.984,83.885,0.103,99.984,116.333,3.6,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV107,45.0,90,97.5,6.42,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,71.255,105.0,8.009,71.255,104.865,0.093,124.019,143.077,2.774,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV108,34.0,68,73.667,4.86,97.22,77.444,8.5,97.5,77.357,18.186,101.847,136.0,53.725,79.327,6.062,53.725,79.221,0.097,93.777,108.158,1.81,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV109,34.5,69,74.75,5.23,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,53.197,80.991,6.523,53.197,80.859,0.111,96.5,111.691,2.941,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV110,41.5,83,89.917,6.03,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,67.676,98.938,7.331,67.676,98.816,0.095,116.369,134.914,19.522,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV111,48.0,96,104.0,6.45,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,76.913,112.006,8.043,76.913,111.892,0.088,131.172,149.983,3.521,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV112,45.5,91,98.583,6.44,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,72.725,106.483,7.897,72.725,106.334,0.105,125.347,147.408,2.588,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV113,46.0,92,99.667,6.64,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,75.515,107.654,8.137,75.515,107.486,0.114,127.077,146.366,15.157,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV114,42.0,84,91.0,6.18,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,66.103,99.466,7.452,66.103,99.333,0.103,117.204,135.313,35.837,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV115,41.5,83,89.917,6.24,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,64.487,97.154,7.705,64.487,97.0,0.11,115.527,135.349,2.965,2.0,2.0,triangular,1000000
