Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 2.1 AD (low SP)_EV36,21.0,42,45.5,4.65,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,32.747,50.747,5.2,32.747,50.433,0.301,63.724,76.243,5.133,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV37,15.0,30,32.5,3.26,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,22.014,36.379,3.613,22.014,36.215,0.231,45.235,53.012,5.99,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV38,23.5,47,50.917,5.01,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,33.942,56.234,5.89,33.942,56.032,0.187,70.52,84.348,8.062,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV39,19.0,38,41.167,4.34,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,27.312,45.658,4.912,27.312,45.504,0.181,57.562,69.92,2.559,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV40,25.0,50,54.167,5.16,71.48,56.944,6.25,71.69,56.88,13.372,74.887,100.0,36.521,58.819,6.021,36.521,58.549,0.24,73.68,87.33,4.89,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV41,20.5,41,44.417,4.39,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,31.626,50.365,4.858,31.626,50.185,0.201,62.267,73.28,3.234,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV42,24.0,48,52.0,5.07,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,39.315,60.147,5.508,39.315,59.936,0.195,73.567,86.643,13.211,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV43,18.0,36,39.0,4.36,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,23.125,42.143,5.321,23.125,41.946,0.203,55.043,66.006,2.373,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV44,18.0,36,39.0,4.54,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,25.297,42.899,4.954,25.297,42.577,0.344,55.564,65.706,4.578,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV45,20.5,41,44.417,4.66,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,31.605,49.659,5.068,31.605,49.416,0.252,62.155,73.298,5.343,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV46,21.0,42,45.5,4.6,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,33.477,53.697,4.754,33.477,53.592,0.117,65.016,75.883,4.304,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV47,20.5,41,44.417,4.53,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,34.829,52.862,4.617,34.829,52.743,0.143,63.95,74.437,8.536,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV48,15.5,31,33.583,3.67,44.32,35.306,3.875,44.45,35.266,8.291,46.43,62.0,25.195,38.898,3.547,25.195,38.735,0.253,47.747,56.338,3.727,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV49,26.5,53,57.417,5.45,75.77,60.361,6.625,76.0,60.293,14.175,79.381,106.0,41.166,62.859,6.153,41.166,62.515,0.288,78.275,93.081,5.209,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV50,20.0,40,43.333,4.24,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,32.448,48.514,4.492,32.448,48.33,0.234,59.644,72.646,2.622,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV51,18.0,36,39.0,3.94,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,31.985,47.016,3.751,31.985,46.93,0.124,56.011,66.351,14.623,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV52,18.5,37,40.083,4.24,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,30.079,45.826,4.049,30.079,45.629,0.282,56.099,66.893,5.878,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV53,16.5,33,35.75,4.09,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,24.531,39.741,4.339,24.531,39.43,0.358,50.795,60.655,8.316,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV54,16.0,32,34.667,3.89,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,26.596,40.593,3.879,26.596,40.422,0.229,50.124,58.667,3.867,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV55,17.5,35,37.917,4.16,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,26.657,43.716,4.556,26.657,43.57,0.169,54.703,64.154,6.3,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV56,20.5,41,44.417,4.47,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,33.193,52.019,4.764,33.193,51.912,0.121,63.305,73.298,8.401,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV57,21.0,42,45.5,4.46,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,32.477,50.691,4.863,32.477,50.481,0.236,62.667,74.564,8.122,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV58,17.5,35,37.917,4.24,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,27.063,43.601,4.283,27.063,43.418,0.225,54.152,64.793,5.182,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV59,23.5,47,50.917,5.15,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,35.411,57.059,5.795,35.411,56.828,0.214,71.209,84.672,4.743,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV60,18.0,36,39.0,4.11,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,26.293,42.448,4.72,26.293,42.168,0.294,54.243,67.542,2.302,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV61,23.5,47,50.917,5.11,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,34.134,56.282,5.907,34.134,56.106,0.169,70.574,84.3,6.997,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV62,18.5,37,40.083,4.15,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,24.474,43.531,4.989,24.474,43.372,0.175,55.565,66.735,3.24,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV63,22.0,44,47.667,4.65,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,32.102,52.145,5.571,32.102,51.969,0.173,65.563,77.456,8.746,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV64,17.5,35,37.917,3.8,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,25.787,41.05,4.503,25.787,40.813,0.267,52.164,61.477,5.355,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV65,19.0,38,41.167,4.4,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,28.235,46.445,5.034,28.235,46.221,0.228,58.762,68.545,5.358,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV66,22.5,45,48.75,5.06,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,33.852,53.93,5.514,33.852,53.682,0.255,67.708,81.017,8.373,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV67,21.0,42,45.5,4.81,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,33.874,53.817,4.872,33.874,53.673,0.165,65.6,76.653,4.784,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV68,15.0,30,32.5,4.2,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,23.777,37.374,4.014,23.777,37.086,0.388,47.778,56.243,4.536,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV69,21.5,43,46.583,4.76,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,33.522,53.961,5.164,33.522,53.795,0.173,66.462,78.893,14.074,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV70,21.5,43,46.583,4.88,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,34.278,54.111,5.258,34.278,53.953,0.165,66.784,80.448,6.346,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV71,18.0,36,39.0,3.91,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,30.836,47.037,4.333,30.836,46.85,0.238,57.803,68.484,4.216,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV72,17.0,34,36.833,4.23,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,28.636,44.195,4.144,28.636,44.053,0.188,54.273,64.341,5.342,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV73,17.0,34,36.833,4.33,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,23.106,41.101,4.737,23.106,40.852,0.28,52.924,63.284,2.759,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV74,17.0,34,36.833,4.15,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,25.894,41.474,4.486,25.894,41.246,0.277,52.636,62.558,5.895,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV75,18.5,37,40.083,4.35,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,30.76,47.445,4.56,30.76,47.271,0.2,58.537,67.59,15.979,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV76,14.0,28,30.333,3.18,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,22.302,35.014,3.311,22.302,34.925,0.152,42.966,50.348,2.223,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV77,26.0,52,56.333,5.36,74.34,59.222,6.5,74.56,59.155,13.907,77.883,104.0,37.462,61.473,6.34,37.462,61.281,0.169,76.834,92.445,7.804,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV78,21.0,42,45.5,4.5,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,30.238,50.672,5.111,30.238,50.507,0.177,63.041,73.532,12.889,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV79,22.5,45,48.75,4.76,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,34.528,54.035,5.224,34.528,53.829,0.222,66.915,79.826,15.043,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV80,24.5,49,53.083,5.11,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,39.657,60.074,5.447,39.657,59.841,0.231,73.519,86.644,9.153,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV81,22.5,45,48.75,5.11,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,34.342,53.81,5.579,34.342,53.497,0.3,67.861,82.293,12.71,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV82,21.5,43,46.583,4.88,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,31.51,52.012,5.59,31.51,51.838,0.165,65.453,78.68,6.08,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV83,21.0,42,45.5,4.42,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,31.456,50.332,4.831,31.456,50.121,0.243,62.34,73.777,6.505,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV84,21.5,43,46.583,4.68,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,30.232,50.383,5.613,30.232,50.133,0.245,64.15,76.748,4.639,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV85,20.5,41,44.417,4.82,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,31.094,49.592,5.131,31.094,49.348,0.265,62.385,75.422,4.705,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV86,20.5,41,44.417,4.53,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,31.041,49.955,5.198,31.041,49.79,0.175,62.534,73.537,5.866,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV87,20.5,41,44.417,4.53,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,33.447,51.78,4.662,33.447,51.666,0.141,63.0,73.498,9.294,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV88,19.0,38,41.167,4.2,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,29.87,47.15,4.632,29.87,46.992,0.178,58.342,68.755,4.961,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV89,18.0,36,39.0,4.32,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,28.396,44.927,4.517,28.396,44.779,0.178,55.887,64.644,4.666,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV90,19.0,38,41.167,4.36,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,28.908,45.421,4.84,28.908,45.206,0.252,57.393,69.168,2.662,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV91,17.5,35,37.917,4.21,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,27.55,43.719,4.478,27.55,43.549,0.199,54.575,66.079,5.581,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV92,17.5,35,37.917,3.67,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,27.036,43.103,4.059,27.036,42.955,0.199,53.016,63.969,4.763,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV93,18.0,36,39.0,3.92,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,27.019,44.954,4.421,27.019,44.854,0.128,55.527,65.906,6.753,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV94,20.5,41,44.417,4.35,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,34.283,51.658,4.511,34.283,51.514,0.176,62.643,74.162,8.743,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV95,20.5,41,44.417,4.26,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,30.397,50.215,4.856,30.397,50.071,0.167,61.966,72.391,5.777,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV96,17.0,34,36.833,3.74,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,24.247,40.054,4.435,24.247,39.885,0.206,50.871,60.09,3.983,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV97,21.5,43,46.583,4.64,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,30.624,51.317,5.581,30.624,51.142,0.169,64.752,76.093,6.325,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV98,22.0,44,47.667,4.61,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,32.83,53.842,5.162,32.83,53.714,0.139,66.202,77.766,6.098,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV99,20.5,41,44.417,4.67,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,32.963,51.63,5.043,32.963,51.431,0.211,63.978,74.728,11.804,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV100,23.5,47,50.917,4.96,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,32.23,54.894,6.121,32.23,54.709,0.17,69.643,83.754,6.428,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV101,15.0,30,32.5,3.64,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,24.348,38.001,3.667,24.348,37.884,0.169,46.901,54.448,2.579,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV102,14.0,28,30.333,3.69,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,22.145,35.227,3.481,22.145,35.081,0.258,43.971,52.367,2.691,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV103,17.0,34,36.833,4.05,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,22.839,40.843,4.716,22.839,40.719,0.147,52.18,63.112,1.957,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV104,20.0,40,43.333,4.51,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,25.187,46.687,5.593,25.187,46.517,0.171,60.159,71.99,2.47,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV105,19.5,39,42.25,4.58,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,25.472,45.526,5.678,25.472,45.355,0.171,59.161,70.898,2.22,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV106,20.5,41,44.417,4.64,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,27.823,48.76,5.597,27.823,48.613,0.15,62.172,74.364,4.13,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV107,24.5,49,53.083,5.11,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,32.129,57.163,6.367,32.129,57.014,0.133,72.427,86.168,2.804,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV108,20.5,41,44.417,4.62,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,32.75,50.974,4.879,32.75,50.723,0.267,63.143,75.333,3.677,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV109,17.5,35,37.917,4.22,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,22.993,41.069,5.098,22.993,40.858,0.219,53.428,63.969,2.6,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV110,17.0,34,36.833,3.82,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,24.537,40.367,4.421,24.537,40.183,0.217,51.178,60.824,5.821,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV111,23.0,46,49.833,4.94,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,33.459,54.983,5.817,33.459,54.803,0.171,69.021,82.241,4.48,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV112,20.5,41,44.417,4.56,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,30.113,49.724,5.182,30.113,49.594,0.142,62.112,72.858,5.246,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV113,22.5,45,48.75,4.99,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,31.031,54.026,5.818,31.031,53.878,0.143,67.958,81.917,4.546,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV114,23.5,47,50.917,4.87,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,32.51,55.027,5.85,32.51,54.777,0.227,69.361,82.908,3.415,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV115,15.0,30,32.5,3.71,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,22.445,37.413,3.958,22.445,37.259,0.206,47.069,55.493,2.985,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV116,25.0,50,54.167,5.33,71.48,56.944,6.25,71.69,56.88,13.372,74.887,100.0,36.313,60.94,6.231,36.313,60.81,0.121,75.808,88.398,4.047,2.0,2.0,triangular,1000000
