Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 4.1 TF (low SP)_EV30,15.0,30,32.5,3.57,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,136,5.912,23.998,34.929,3.001,23.998,34.789,0.253,42.36,49.548,5.635,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV31,20.5,41,44.417,4.53,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,131,6.099,28.856,45.091,4.323,28.856,44.967,0.168,55.504,66.546,5.636,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV32,20.0,40,43.333,4.24,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,142,5.901,31.848,45.66,3.632,31.848,45.523,0.213,54.62,65.418,5.757,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV33,21.0,42,45.5,4.8,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,185,6.135,31.568,47.159,4.104,31.568,46.975,0.25,57.373,68.937,7.437,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV34,15.0,30,32.5,3.86,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,145,6.31,25.539,35.87,2.705,25.539,35.766,0.236,42.64,53.056,6.288,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV35,19.0,38,41.167,4.37,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,224,6.272,26.123,41.551,4.255,26.123,41.436,0.163,51.818,62.296,8.798,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV36,20.0,40,43.333,4.4,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,110,5.964,28.496,43.841,4.125,28.496,43.697,0.196,53.891,65.932,4.828,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV37,20.0,40,43.333,4.54,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,324,6.231,32.547,46.653,3.643,32.547,46.533,0.185,55.55,65.52,11.76,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV38,23.5,47,50.917,4.89,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,176,6.227,36.072,53.282,4.5,36.072,53.158,0.154,64.14,74.998,7.365,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV39,22.0,44,47.667,4.96,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,185,6.016,31.395,48.417,4.582,31.395,48.251,0.202,59.647,72.323,7.472,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV40,23.5,47,50.917,5.02,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,84,6.107,33.51,52.543,4.808,33.51,52.436,0.128,64.046,75.044,4.04,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV41,16.0,32,34.667,3.71,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,202,6.173,23.936,36.821,3.273,23.936,36.74,0.142,44.694,52.628,8.303,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV42,20.5,41,44.417,4.62,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,113,6.018,31.875,47.186,3.671,31.875,47.048,0.218,56.276,66.636,4.886,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV43,23.0,46,49.833,4.89,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,99,6.384,34.685,51.053,4.295,34.685,50.901,0.207,61.666,72.067,4.651,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV44,18.0,36,39.0,3.91,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,280,6.475,27.771,42.21,3.302,27.771,42.118,0.155,50.202,58.976,11.121,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV45,19.0,38,41.167,4.68,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,192,6.01,29.461,43.529,3.683,29.461,43.319,0.314,52.887,61.552,9.022,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV46,20.5,41,44.417,4.67,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,125,6.0,29.956,45.43,4.245,29.956,45.279,0.201,55.798,66.45,6.326,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV47,20.5,41,44.417,4.47,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,263,6.202,30.135,45.167,4.179,30.135,44.997,0.22,55.398,64.642,11.547,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV48,25.5,51,55.25,5.3,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,245,6.29,35.357,55.353,5.209,35.357,55.209,0.152,67.905,81.14,9.649,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV49,18.5,37,40.083,3.94,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,168,6.054,28.5,41.826,3.727,28.5,41.703,0.191,50.907,60.28,6.92,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV50,19.0,38,41.167,4.29,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,400,6.36,27.682,42.491,3.871,27.682,42.347,0.206,51.947,60.897,14.887,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV51,22.5,45,48.75,4.96,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,199,6.045,30.057,48.979,4.811,30.057,48.84,0.167,60.612,72.303,7.261,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV52,19.0,38,41.167,4.36,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,127,6.449,31.0,44.865,3.555,31.0,44.72,0.223,53.654,64.943,5.64,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV53,16.5,33,35.75,3.96,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,186,5.887,24.579,38.002,3.291,24.579,37.889,0.19,46.039,54.424,7.344,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV54,20.5,41,44.417,4.82,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,131,6.137,32.016,46.9,4.025,32.016,46.724,0.244,56.873,67.282,5.68,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV55,18.5,37,40.083,4.18,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,223,6.422,27.721,41.929,3.654,27.721,41.805,0.187,50.827,60.104,8.774,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV56,19.5,39,42.25,4.37,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,276,6.312,28.18,43.446,3.874,28.18,43.313,0.191,52.938,62.981,10.341,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV57,16.0,32,34.667,3.55,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,125,6.024,26.249,37.088,2.975,26.249,36.969,0.226,44.464,51.748,5.313,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV58,18.0,36,39.0,3.86,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,182,5.907,26.463,39.817,3.586,26.463,39.699,0.182,48.55,58.881,7.215,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV59,19.5,39,42.25,4.53,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,186,6.226,30.755,44.538,3.687,30.755,44.388,0.228,53.691,63.09,7.551,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV60,25.0,50,54.167,5.17,71.48,56.944,6.25,71.69,56.88,13.372,74.887,100.0,232,5.983,36.345,55.014,4.959,36.345,54.882,0.153,66.933,79.021,8.372,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV61,20.5,41,44.417,4.42,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,224,6.161,31.35,46.194,3.971,31.35,46.034,0.221,55.94,64.74,8.783,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV62,18.5,37,40.083,4.02,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,101,6.366,29.187,44.007,3.437,29.187,43.925,0.14,52.309,61.778,4.793,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV63,22.5,45,48.75,4.71,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,239,6.293,32.856,49.418,4.464,32.856,49.302,0.154,60.187,71.592,9.059,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV64,21.0,42,45.5,4.72,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,215,6.288,31.965,47.457,4.303,31.965,47.288,0.212,57.99,68.923,8.284,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV65,20.0,40,43.333,4.26,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,160,6.044,30.358,45.032,4.032,30.358,44.914,0.169,54.768,63.238,6.404,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV66,19.5,39,42.25,4.52,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,275,6.2,29.217,44.105,3.979,29.217,43.977,0.185,53.783,64.975,10.493,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV67,23.5,47,50.917,4.91,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,163,5.982,32.258,50.942,4.884,32.258,50.83,0.133,62.647,74.513,6.463,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV68,17.5,35,37.917,3.98,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,135,6.067,25.99,40.036,3.522,25.99,39.955,0.132,48.483,57.585,5.833,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV69,21.5,43,46.583,4.84,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,188,6.128,32.536,48.917,4.427,32.536,48.782,0.174,59.659,70.229,7.582,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV70,22.5,45,48.75,4.7,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,301,6.116,36.24,51.131,4.022,36.24,50.988,0.203,60.988,71.444,11.027,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV71,18.0,36,39.0,4.08,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,202,6.084,28.283,40.153,3.434,28.283,39.929,0.353,48.982,58.124,7.815,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV72,24.5,49,53.083,5.09,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,238,6.408,36.961,54.984,4.734,36.961,54.831,0.179,66.443,77.599,9.556,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV73,16.5,33,35.75,3.88,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,278,6.209,24.924,37.976,3.399,24.924,37.795,0.273,46.435,54.677,10.3,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV74,27.0,54,58.5,5.58,77.2,61.5,6.75,77.43,61.431,14.442,80.878,108.0,96,5.979,37.13,58.606,5.473,37.13,58.456,0.158,71.842,84.71,4.331,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV75,21.5,43,46.583,4.84,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,115,6.104,31.54,48.313,4.291,31.54,48.179,0.177,58.759,70.11,4.946,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV76,18.0,36,39.0,4.08,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,227,6.26,27.233,41.211,3.601,27.233,41.062,0.219,50.062,59.131,8.805,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV77,21.5,43,46.583,4.56,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,138,6.014,31.99,48.445,3.982,31.99,48.329,0.168,58.131,67.622,5.837,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV78,18.0,36,39.0,4.05,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,167,5.964,26.281,39.893,3.577,26.281,39.747,0.231,48.752,59.834,7.054,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV79,17.5,35,37.917,4.02,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,113,6.035,25.337,38.236,3.724,25.337,38.009,0.31,47.573,57.118,5.018,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV80,21.5,43,46.583,4.88,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,225,6.289,31.293,47.502,4.524,31.293,47.351,0.188,58.493,68.925,8.661,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV81,20.5,41,44.417,4.47,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,232,6.267,32.029,46.75,3.807,32.029,46.617,0.195,56.101,65.807,9.285,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV82,19.5,39,42.25,4.38,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,207,6.024,31.209,45.117,3.6,31.209,44.99,0.197,53.934,62.202,8.086,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV83,19.0,38,41.167,4.08,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,188,6.223,30.232,42.523,3.498,30.232,42.368,0.239,51.204,61.998,7.93,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV84,20.0,40,43.333,5.0,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,205,6.454,31.908,47.228,3.941,31.908,47.084,0.201,56.895,66.826,8.185,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV85,16.5,33,35.75,4.02,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,222,6.194,24.365,38.033,3.668,24.365,37.907,0.194,46.95,54.598,9.056,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV86,18.0,36,39.0,4.11,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,167,6.263,27.21,41.051,3.53,27.21,40.922,0.203,49.714,58.676,6.95,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV87,20.5,41,44.417,4.49,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,212,6.151,31.253,46.177,4.084,31.253,46.037,0.19,56.14,66.899,8.414,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV88,22.0,44,47.667,4.6,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,161,6.13,31.248,48.852,4.267,31.248,48.729,0.162,59.175,70.568,6.611,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV89,22.0,44,47.667,4.64,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,101,6.455,33.7,50.078,3.94,33.7,49.954,0.175,59.663,71.764,4.752,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV90,19.0,38,41.167,4.37,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,197,6.477,27.011,41.75,4.098,27.011,41.595,0.214,51.765,61.959,8.246,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV91,21.0,42,45.5,4.72,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,349,6.461,29.62,47.432,4.217,29.62,47.314,0.154,57.612,68.026,12.782,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV92,23.0,46,49.833,4.78,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,189,6.185,32.507,50.755,4.586,32.507,50.667,0.116,61.716,73.118,7.582,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV93,19.0,38,41.167,4.14,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,157,6.045,28.982,42.329,3.757,28.982,42.207,0.178,51.411,61.744,6.507,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV94,19.0,38,41.167,4.0,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,236,6.148,29.621,42.803,3.552,29.621,42.655,0.234,51.599,60.827,9.316,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV95,19.5,39,42.25,4.52,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,124,6.476,31.104,45.272,3.663,31.104,45.151,0.19,54.237,64.218,5.358,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV96,19.0,38,41.167,4.37,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,128,6.156,26.59,42.684,4.053,26.59,42.569,0.161,52.454,61.306,5.289,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV97,18.5,37,40.083,4.52,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,100,6.04,27.048,40.867,4.07,27.048,40.672,0.266,50.997,60.682,4.531,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV98,22.0,44,47.667,4.81,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,183,6.027,30.486,48.134,4.714,30.486,48.0,0.158,59.513,70.716,7.233,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV99,19.0,38,41.167,4.51,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,153,6.301,27.568,42.467,4.037,27.568,42.325,0.199,52.33,62.256,6.459,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV100,17.5,35,37.917,4.21,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,155,6.174,24.602,39.029,3.783,24.602,38.903,0.189,48.264,58.551,6.449,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV101,18.5,37,40.083,4.35,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,84,5.345,27.414,41.389,3.717,27.414,41.229,0.244,50.663,59.669,3.689,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV102,19.5,39,42.25,4.35,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,57,5.667,28.651,43.452,3.986,28.651,43.345,0.156,53.072,61.965,3.085,2.0,2.0,beta,1000000,Beta,1,0,0
