Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds)
Set 1 SP_EV25,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,14.836,25.757,3.356,14.836,25.532,0.328,34.219,39.564,1.649
Set 1 SP_EV26,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,18.457,30.543,3.606,18.457,30.261,0.431,40.075,47.819,2.783
Set 1 SP_EV27,8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,34.0,34.0,14.06,22.807,2.444,14.06,22.665,0.321,29.085,33.289,1.867
Set 1 SP_EV28,13.0,26,28.167,3.76,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,16.906,30.584,4.41,16.906,30.287,0.329,41.567,49.57,1.884
Set 1 SP_EV29,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,14.787,25.542,3.119,14.787,25.335,0.368,33.638,41.045,1.918
Set 1 SP_EV30,10.0,20,21.667,3.06,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,13.427,23.984,3.377,13.427,23.744,0.335,32.417,38.342,1.696
Set 1 SP_EV31,11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,16.176,27.817,3.657,16.176,27.478,0.41,37.096,44.299,2.105
Set 1 SP_EV32,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,16.497,30.433,4.582,16.497,30.176,0.299,41.695,49.464,2.028
Set 1 SP_EV33,11.0,22,23.833,3.57,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,15.517,27.279,3.564,15.517,27.032,0.356,36.393,42.686,2.062
Set 1 SP_EV34,11.0,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,19.027,29.268,2.75,19.027,29.169,0.2,36.0,42.768,2.267
Set 1 SP_EV35,7.0,14,15.167,2.15,20.02,15.944,1.75,20.07,15.926,3.744,28.0,28.0,10.711,17.98,2.145,10.711,17.838,0.285,23.245,26.949,1.587
Set 1 SP_EV36,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,16.097,26.831,3.086,16.097,26.659,0.276,34.49,39.987,2.09
Set 1 SP_EV37,11.0,22,23.833,3.2,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,16.697,27.908,3.003,16.697,27.733,0.315,35.553,42.116,2.318
Set 1 SP_EV38,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,17.094,27.996,2.804,17.094,27.868,0.251,34.996,40.922,2.771
Set 1 SP_EV39,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,13.732,24.062,3.056,13.732,23.837,0.431,32.253,37.655,1.679
Set 1 SP_EV40,12.0,24,26.0,3.54,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,18.169,30.216,3.378,18.169,29.998,0.333,38.778,46.272,2.222
Set 1 SP_EV41,12.0,24,26.0,3.46,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.271,28.434,3.881,16.271,28.096,0.41,38.387,46.583,2.044
Set 1 SP_EV42,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,14.237,24.962,3.366,14.237,24.67,0.46,33.908,39.288,1.752
Set 1 SP_EV43,9.0,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,36.0,36.0,13.983,24.022,3.08,13.983,23.875,0.234,31.479,35.601,1.774
Set 1 SP_EV44,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.85,28.821,3.737,16.85,28.406,0.49,38.557,46.058,2.805
Set 1 SP_EV45,12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,17.474,30.527,3.776,17.474,30.333,0.294,40.081,47.948,2.068
Set 1 SP_EV46,15.0,30,32.5,4.33,42.89,34.167,3.75,43.02,34.128,8.023,60.0,60.0,22.784,37.647,4.264,22.784,37.372,0.341,48.535,57.481,2.53
Set 1 SP_EV47,13.5,27,29.25,3.91,38.6,30.75,3.375,38.71,30.715,7.221,54.0,54.0,20.352,34.415,4.004,20.352,34.184,0.29,44.376,51.971,2.795
Set 1 SP_EV48,10.5,21,22.75,3.11,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,16.863,27.537,2.767,16.863,27.405,0.244,34.385,40.572,2.247
Set 1 SP_EV49,10.0,20,21.667,3.22,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,14.404,25.259,3.008,14.404,25.098,0.313,32.988,38.854,1.996
Set 1 SP_EV50,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,13.734,24.937,3.388,13.734,24.583,0.508,33.962,39.544,2.022
Set 1 SP_EV51,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,15.505,25.045,2.976,15.505,24.751,0.426,32.693,37.6,2.024
Set 1 SP_EV52,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,14.113,24.388,3.044,14.113,24.158,0.385,32.291,37.373,2.027
Set 1 SP_EV53,12.5,25,27.083,3.61,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,18.123,30.613,3.848,18.123,30.418,0.269,40.142,48.098,1.964
Set 1 SP_EV54,9.5,19,20.583,2.97,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,13.695,23.959,3.159,13.695,23.77,0.268,31.581,36.795,1.941
Set 1 SP_EV55,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,13.258,23.619,3.509,13.258,23.293,0.406,32.484,37.605,1.584
Set 1 SP_EV56,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,17.156,28.041,2.783,17.156,27.949,0.18,34.826,40.929,2.142
Set 1 SP_EV57,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,14.292,24.36,3.007,14.292,24.157,0.38,32.253,37.55,1.706
Set 1 SP_EV58,12.0,24,26.0,3.46,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.172,29.26,3.563,16.172,29.07,0.323,38.4,45.603,2.015
Set 1 SP_EV59,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,14.492,26.237,3.113,14.492,26.061,0.292,34.013,40.549,1.934
Set 1 SP_EV60,13.5,27,29.25,3.91,38.6,30.75,3.375,38.71,30.715,7.221,54.0,54.0,19.871,33.899,4.21,19.871,33.647,0.295,44.386,52.73,1.782
Set 1 SP_EV61,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,16.95,30.585,4.451,16.95,30.272,0.338,41.713,49.361,1.937
Set 1 SP_EV62,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,18.447,31.493,3.787,18.447,31.336,0.223,40.704,48.061,2.165
Set 1 SP_EV63,12.5,25,27.083,3.75,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,15.937,29.864,4.207,15.937,29.561,0.334,40.378,47.738,1.931
Set 1 SP_EV64,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,15.915,26.388,2.941,15.915,26.296,0.135,33.233,37.261,2.157
Set 1 SP_EV65,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,12.227,22.649,3.687,12.227,22.208,0.503,32.266,37.686,1.603
Set 1 SP_EV66,9.5,19,20.583,2.77,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,15.713,25.655,2.639,15.713,25.551,0.21,32.144,36.897,1.803
Set 1 SP_EV67,9.5,19,20.583,3.09,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,11.692,23.096,3.479,11.692,22.929,0.239,31.44,37.031,1.622
Set 1 SP_EV68,8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,34.0,34.0,11.184,21.142,2.997,11.184,20.927,0.375,28.846,33.378,1.749
Set 1 SP_EV69,7.5,15,16.25,2.51,21.45,17.083,1.875,21.51,17.064,4.012,30.0,30.0,10.337,18.791,2.444,10.337,18.713,0.224,24.852,28.895,1.686
Set 1 SP_EV70,7.5,15,16.25,2.66,21.45,17.083,1.875,21.51,17.064,4.012,30.0,30.0,10.739,20.581,2.593,10.739,20.512,0.119,26.617,29.65,1.789
Set 1 SP_EV71,10.0,20,21.667,3.1,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,15.957,26.768,2.809,15.957,26.636,0.212,33.557,38.805,2.301
Set 1 SP_EV72,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.703,28.766,3.94,16.703,28.432,0.384,38.719,46.468,2.003
Set 1 SP_EV73,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,12.742,23.716,3.202,12.742,23.395,0.509,32.277,37.581,2.194
Set 1 SP_EV74,11.0,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,15.102,26.6,3.497,15.102,26.366,0.354,35.489,41.841,2.316
Set 1 SP_EV75,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.288,29.352,3.7,16.288,29.087,0.354,38.786,45.553,2.681
Set 1 SP_EV76,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,19.105,31.128,3.311,19.105,30.985,0.228,39.217,45.647,2.53
Set 1 SP_EV77,8.5,17,18.417,2.7,24.3,19.361,2.125,24.38,19.339,4.547,34.0,34.0,13.178,21.947,2.567,13.178,21.806,0.26,28.221,32.539,2.126
Set 1 SP_EV78,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,15.915,27.9,3.593,15.915,27.57,0.41,37.033,44.21,2.035
Set 1 SP_EV79,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.174,28.764,3.847,16.174,28.5,0.362,38.537,45.688,2.299
Set 1 SP_EV80,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,17.255,27.878,2.832,17.255,27.778,0.175,34.719,40.082,2.139
Set 1 SP_EV81,11.0,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,17.769,28.047,2.91,17.769,27.883,0.307,35.408,42.097,2.256
Set 1 SP_EV82,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,13.028,24.388,3.726,13.028,24.132,0.377,33.918,39.374,1.613
Set 1 SP_EV83,10.0,20,21.667,3.37,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,14.098,24.857,3.292,14.098,24.638,0.373,33.43,39.091,1.779
Set 1 SP_EV84,11.0,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,16.399,28.846,3.178,16.399,28.729,0.182,36.506,42.396,2.25
Set 1 SP_EV85,10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,14.245,26.431,3.511,14.245,26.307,0.193,34.912,39.925,1.621
Set 1 SP_EV86,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,15.4,29.846,4.033,15.4,29.577,0.344,40.095,47.812,1.914
Set 1 SP_EV87,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,20.041,33.041,3.586,20.041,32.869,0.259,41.961,49.979,2.068
Set 1 SP_EV88,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,16.191,27.955,3.484,16.191,27.686,0.398,36.99,44.205,2.433
Set 1 SP_EV89,11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,17.177,28.446,3.342,17.177,28.257,0.304,36.824,43.437,2.106
Set 1 SP_EV90,11.0,22,23.833,3.34,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,14.522,26.103,3.779,14.522,25.787,0.382,35.642,42.263,1.91
Set 1 SP_EV91,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,14.022,28.139,4.275,14.022,27.958,0.218,38.502,45.848,1.77
Set 1 SP_EV92,9.0,18,19.5,3.02,25.73,20.5,2.25,25.81,20.477,4.814,36.0,36.0,14.842,25.009,2.724,14.842,24.919,0.149,31.461,35.287,2.076
Set 1 SP_EV93,8.5,17,18.417,2.93,24.3,19.361,2.125,24.38,19.339,4.547,34.0,34.0,12.91,22.869,2.768,12.91,22.765,0.188,29.551,33.636,2.18
Set 1 SP_EV94,8.5,17,18.417,2.86,24.3,19.361,2.125,24.38,19.339,4.547,34.0,34.0,13.452,23.174,2.599,13.452,23.074,0.211,29.55,33.359,1.903
Set 1 SP_EV95,7.0,14,15.167,2.57,20.02,15.944,1.75,20.07,15.926,3.744,28.0,28.0,10.735,18.551,2.326,10.735,18.304,0.452,24.514,27.595,2.331
Set 1 SP_EV96,9.0,18,19.5,3.18,25.73,20.5,2.25,25.81,20.477,4.814,36.0,36.0,14.947,24.416,2.831,14.947,24.235,0.3,31.488,35.704,1.866
Set 1 SP_EV97,9.0,18,19.5,3.18,25.73,20.5,2.25,25.81,20.477,4.814,36.0,36.0,12.375,23.504,3.163,12.375,23.344,0.239,31.191,35.618,1.721
Set 1 SP_EV98,13.0,26,28.167,3.76,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,17.706,30.888,4.248,17.706,30.586,0.352,41.595,50.214,1.891
Set 1 SP_EV99,9.5,19,20.583,3.21,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,13.471,23.45,3.122,13.471,23.147,0.482,31.766,36.766,1.945
Set 1 SP_EV100,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,12.555,24.588,3.991,12.555,24.368,0.26,34.216,39.51,1.889
Set 1 SP_EV101,14.0,28,30.333,3.72,40.03,31.889,3.5,40.15,31.853,7.488,56.0,56.0,22.377,35.87,3.727,22.377,35.706,0.227,45.03,52.3,3.484
Set 1 SP_EV102,19.5,39,42.25,4.24,55.76,44.417,4.875,55.92,44.366,10.43,78.0,78.0,28.219,46.275,5.029,28.219,46.068,0.21,58.46,69.174,3.338
Set 1 SP_EV103,17.5,35,37.917,4.28,50.04,39.861,4.375,50.19,39.816,9.361,70.0,70.0,25.104,42.14,4.679,25.104,41.908,0.265,53.742,64.429,2.233
Set 1 SP_EV104,13.5,27,29.25,3.01,38.6,30.75,3.375,38.71,30.715,7.221,54.0,54.0,18.167,31.579,3.653,18.167,31.417,0.23,40.474,48.242,1.765
Set 1 SP_EV105,22.0,44,47.667,5.0,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,31.952,52.873,5.69,31.952,52.691,0.183,66.659,79.57,3.239
Set 1 SP_EV106,16.5,33,35.75,3.83,47.18,37.583,4.125,47.32,37.541,8.826,66.0,66.0,25.883,40.227,4.114,25.883,40.015,0.278,50.52,60.132,3.042
Set 1 SP_EV107,18.5,37,40.083,4.13,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,27.1,44.276,4.5,27.1,44.068,0.257,55.548,67.166,3.808
Set 1 SP_EV108,15.5,31,33.583,3.8,44.32,35.306,3.875,44.45,35.266,8.291,62.0,62.0,18.932,36.284,4.642,18.932,36.105,0.204,47.54,56.715,2.221
Set 1 SP_EV109,20.0,40,43.333,4.26,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,27.5,46.773,5.244,27.5,46.626,0.157,59.366,71.865,2.416
Set 1 SP_EV110,21.0,42,45.5,4.78,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,30.632,50.254,5.596,30.632,50.05,0.202,63.824,77.643,6.149
Set 1 SP_EV111,18.5,37,40.083,4.31,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,24.924,43.55,5.098,24.924,43.35,0.22,56.016,66.78,2.592
Set 1 SP_EV112,21.0,42,45.5,4.73,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,30.668,50.182,5.223,30.668,49.936,0.262,63.209,75.202,3.211
Set 1 SP_EV113,15.0,30,32.5,3.71,42.89,34.167,3.75,43.02,34.128,8.023,60.0,60.0,21.387,36.533,4.04,21.387,36.345,0.229,46.425,53.44,2.357
Set 1 SP_EV114,18.0,36,39.0,4.17,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,28.399,45.946,4.32,28.399,45.799,0.179,56.406,65.645,7.353
Set 1 SP_EV115,26.0,52,56.333,5.42,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,34.76,60.676,6.76,34.76,60.522,0.133,76.839,92.906,1.936
Set 1 SP_EV116,13.5,27,29.25,3.34,38.6,30.75,3.375,38.71,30.715,7.221,54.0,54.0,18.608,32.526,3.876,18.608,32.407,0.169,41.785,48.618,1.939
Set 1 SP_EV117,15.0,30,32.5,3.67,42.89,34.167,3.75,43.02,34.128,8.023,60.0,60.0,20.653,36.152,4.276,20.653,36.018,0.167,46.39,54.901,2.127
Set 1 SP_EV118,16.0,32,34.667,3.67,45.75,36.444,4.0,45.88,36.403,8.558,64.0,64.0,22.736,38.015,4.212,22.736,37.816,0.246,48.336,58.834,2.582
Set 1 SP_EV119,21.0,42,45.5,4.61,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,30.391,49.517,5.35,30.391,49.249,0.267,62.751,74.782,4.505
Set 1 SP_EV120,21.0,42,45.5,4.74,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,31.601,50.811,5.437,31.601,50.653,0.161,63.9,77.23,3.266
Set 1 SP_EV121,14.5,29,31.417,3.49,41.46,33.028,3.625,41.58,32.99,7.756,58.0,58.0,17.839,33.832,4.356,17.839,33.69,0.17,44.261,52.901,1.679
Set 1 SP_EV122,20.0,40,43.333,4.54,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,32.862,49.786,4.625,32.862,49.573,0.253,61.304,71.707,5.38
Set 1 SP_EV123,18.5,37,40.083,4.15,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,28.741,45.263,4.47,28.741,45.086,0.216,56.27,68.007,4.227
Set 1 SP_EV124,19.0,38,41.167,4.29,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,25.406,44.445,5.239,25.406,44.258,0.196,57.141,69.756,1.8
Set 1 SP_EV125,21.0,42,45.5,4.47,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,29.869,50.105,5.257,29.869,49.947,0.169,62.792,76.523,3.172
Set 1 SP_EV126,20.0,40,43.333,4.65,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,29.705,48.513,5.158,29.705,48.314,0.204,61.119,72.754,4.322
Set 1 SP_EV127,15.5,31,33.583,3.98,44.32,35.306,3.875,44.45,35.266,8.291,62.0,62.0,26.559,41.039,3.64,26.559,40.915,0.178,49.842,57.235,10.769
Set 1 SP_EV128,21.5,43,46.583,4.62,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,36.018,54.513,4.821,36.018,54.376,0.161,66.168,78.356,8.612
Set 1 SP_EV129,23.0,46,49.833,5.16,65.77,52.389,5.75,65.96,52.33,12.303,92.0,92.0,36.692,57.278,5.41,36.692,57.089,0.187,70.442,82.571,12.305
Set 1 SP_EV130,17.0,34,36.833,3.69,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,26.76,41.306,3.893,26.76,41.135,0.234,50.936,60.8,3.914
Set 1 SP_EV131,19.0,38,41.167,4.2,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,25.404,44.782,4.995,25.404,44.6,0.197,56.896,69.203,4.083
Set 1 SP_EV132,20.0,40,43.333,4.43,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,29.527,48.65,4.773,29.527,48.453,0.222,60.401,72.559,3.841
Set 1 SP_EV133,19.0,38,41.167,4.24,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,23.814,44.329,5.295,23.814,44.185,0.148,56.985,69.739,1.715
Set 1 SP_EV134,21.0,42,45.5,4.81,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,29.722,51.373,5.652,29.722,51.241,0.127,64.826,76.416,2.562
Set 1 SP_EV135,21.0,42,45.5,4.44,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,32.41,51.785,4.976,32.41,51.667,0.131,63.682,74.911,4.523
Set 1 SP_EV136,16.5,33,35.75,4.12,47.18,37.583,4.125,47.32,37.541,8.826,66.0,66.0,23.541,39.81,4.528,23.541,39.606,0.236,50.923,61.293,2.857
Set 1 SP_EV137,19.0,38,41.167,4.26,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,25.552,44.595,5.164,25.552,44.422,0.175,57.057,68.272,1.956
Set 1 SP_EV138,23.0,46,49.833,4.83,65.77,52.389,5.75,65.96,52.33,12.303,92.0,92.0,31.785,54.132,5.841,31.785,53.96,0.162,68.2,81.678,3.401
Set 1 SP_EV139,15.0,30,32.5,3.54,42.89,34.167,3.75,43.02,34.128,8.023,60.0,60.0,19.467,35.215,4.336,19.467,35.083,0.162,45.595,53.71,1.675
Set 1 SP_EV140,22.0,44,47.667,4.96,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,35.14,53.989,5.285,35.14,53.768,0.232,67.002,79.123,9.602
Set 1 SP_EV141,17.0,34,36.833,4.11,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,24.025,41.795,4.698,24.025,41.64,0.166,53.031,62.599,2.969
Set 1 SP_EV142,24.5,49,53.083,5.14,70.05,55.806,6.125,70.26,55.742,13.105,98.0,98.0,39.137,60.399,5.545,39.137,60.221,0.178,73.867,86.22,11.551
Set 1 SP_EV143,14.0,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,56.0,56.0,19.638,33.727,4.361,19.638,33.4,0.377,44.866,53.97,3.025
Set 1 SP_EV144,15.5,31,33.583,3.85,44.32,35.306,3.875,44.45,35.266,8.291,62.0,62.0,19.63,36.199,4.752,19.63,36.021,0.202,47.635,56.85,1.885
Set 1 SP_EV145,19.0,38,41.167,4.18,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,26.808,44.578,4.978,26.808,44.336,0.247,56.814,68.649,6.642
