Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 1 SP_EV15,11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,15.202,28.035,3.91,15.202,27.829,0.276,37.703,44.044,1.789,2.0,2.0,triangular,1000000
Set 1 SP_EV16,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,17.912,30.521,3.67,17.912,30.309,0.278,39.582,45.94,1.936,2.0,2.0,triangular,1000000
Set 1 SP_EV17,9.0,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,14.505,24.941,2.99,14.505,24.87,0.116,31.918,35.733,2.411,2.0,2.0,triangular,1000000
Set 1 SP_EV18,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,14.766,26.229,3.276,14.766,26.081,0.238,34.298,40.159,1.824,2.0,2.0,triangular,1000000
Set 1 SP_EV19,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,13.977,24.692,3.101,13.977,24.487,0.335,32.525,37.607,1.82,2.0,2.0,triangular,1000000
Set 1 SP_EV20,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,20.233,33.106,3.758,20.233,32.916,0.256,42.373,49.44,3.368,2.0,2.0,triangular,1000000
Set 1 SP_EV21,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,16.973,29.846,3.412,16.973,29.619,0.382,38.744,46.092,1.888,2.0,2.0,triangular,1000000
Set 1 SP_EV22,8.0,16,17.333,2.83,22.87,18.222,2.0,22.94,18.202,4.279,23.964,32.0,14.331,22.637,2.278,14.331,22.513,0.274,28.352,31.756,1.681,2.0,2.0,triangular,1000000
Set 1 SP_EV23,10.0,20,21.667,3.24,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,14.232,25.836,3.585,14.232,25.714,0.186,34.471,39.76,1.616,2.0,2.0,triangular,1000000
Set 1 SP_EV24,9.0,18,19.5,2.87,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,13.449,23.031,2.625,13.449,22.913,0.275,29.693,34.58,1.733,2.0,2.0,triangular,1000000
Set 1 SP_EV25,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,14.338,25.762,3.36,14.338,25.536,0.328,34.231,39.551,1.617,2.0,2.0,triangular,1000000
Set 1 SP_EV26,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,18.317,30.546,3.605,18.317,30.262,0.43,40.086,47.919,2.703,2.0,2.0,triangular,1000000
Set 1 SP_EV27,8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,25.462,34.0,13.995,22.805,2.443,13.995,22.667,0.316,29.05,33.457,1.848,2.0,2.0,triangular,1000000
Set 1 SP_EV28,13.0,26,28.167,3.76,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,17.074,30.593,4.415,17.074,30.301,0.328,41.582,49.684,1.888,2.0,2.0,triangular,1000000
Set 1 SP_EV29,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,14.627,25.537,3.115,14.627,25.335,0.365,33.597,40.453,1.892,2.0,2.0,triangular,1000000
Set 1 SP_EV30,10.0,20,21.667,3.06,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,13.085,23.996,3.38,13.085,23.757,0.331,32.437,38.82,1.672,2.0,2.0,triangular,1000000
Set 1 SP_EV31,11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,16.5,27.821,3.658,16.5,27.485,0.405,37.1,43.936,2.131,2.0,2.0,triangular,1000000
Set 1 SP_EV32,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,16.396,30.428,4.577,16.396,30.166,0.302,41.691,49.759,2.006,2.0,2.0,triangular,1000000
Set 1 SP_EV33,11.0,22,23.833,3.57,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,16.008,27.279,3.563,16.008,27.028,0.354,36.385,42.381,2.019,2.0,2.0,triangular,1000000
Set 1 SP_EV34,11.0,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,18.652,29.267,2.75,18.652,29.167,0.199,35.992,42.138,2.257,2.0,2.0,triangular,1000000
Set 1 SP_EV35,7.0,14,15.167,2.15,20.02,15.944,1.75,20.07,15.926,3.744,20.968,28.0,10.543,17.977,2.147,10.543,17.84,0.287,23.263,26.923,1.581,2.0,2.0,triangular,1000000
Set 1 SP_EV36,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,16.262,26.829,3.084,16.262,26.659,0.279,34.501,40.04,2.044,2.0,2.0,triangular,1000000
Set 1 SP_EV37,11.0,22,23.833,3.2,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,17.223,27.906,3.004,17.223,27.736,0.314,35.563,42.442,2.251,2.0,2.0,triangular,1000000
Set 1 SP_EV38,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,16.925,27.991,2.801,16.925,27.863,0.251,34.99,41.171,2.747,2.0,2.0,triangular,1000000
Set 1 SP_EV39,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,14.297,24.055,3.055,14.297,23.823,0.436,32.271,37.412,1.65,2.0,2.0,triangular,1000000
Set 1 SP_EV40,12.0,24,26.0,3.54,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,18.172,30.218,3.378,18.172,30.003,0.327,38.775,45.51,2.175,2.0,2.0,triangular,1000000
Set 1 SP_EV41,12.0,24,26.0,3.46,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,16.192,28.436,3.884,16.192,28.101,0.41,38.375,45.983,1.957,2.0,2.0,triangular,1000000
Set 1 SP_EV42,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,14.617,24.967,3.368,14.617,24.678,0.462,33.933,39.521,1.704,2.0,2.0,triangular,1000000
Set 1 SP_EV43,9.0,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,13.654,24.019,3.082,13.654,23.87,0.236,31.483,35.664,1.741,2.0,2.0,triangular,1000000
Set 1 SP_EV44,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,17.042,28.819,3.737,17.042,28.4,0.49,38.553,45.941,2.798,2.0,2.0,triangular,1000000
Set 1 SP_EV45,12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,16.665,30.521,3.776,16.665,30.319,0.298,40.074,48.0,1.974,2.0,2.0,triangular,1000000
Set 1 SP_EV46,15.0,30,32.5,4.33,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,23.224,37.645,4.259,23.224,37.37,0.337,48.501,57.758,2.482,2.0,2.0,triangular,1000000
Set 1 SP_EV47,13.5,27,29.25,3.91,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,20.953,34.415,4.004,20.953,34.177,0.29,44.369,51.949,2.788,2.0,2.0,triangular,1000000
Set 1 SP_EV48,10.5,21,22.75,3.11,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,17.312,27.53,2.771,17.312,27.397,0.247,34.394,40.425,2.199,2.0,2.0,triangular,1000000
Set 1 SP_EV49,10.0,20,21.667,3.22,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,14.753,25.257,3.01,14.753,25.091,0.318,33.011,38.405,1.98,2.0,2.0,triangular,1000000
Set 1 SP_EV50,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,14.401,24.936,3.385,14.401,24.579,0.509,33.962,39.43,1.994,2.0,2.0,triangular,1000000
Set 1 SP_EV51,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,15.246,25.041,2.977,15.246,24.75,0.428,32.69,37.591,2.016,2.0,2.0,triangular,1000000
Set 1 SP_EV52,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,14.119,24.391,3.043,14.119,24.164,0.387,32.28,37.564,2.042,2.0,2.0,triangular,1000000
Set 1 SP_EV53,12.5,25,27.083,3.61,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,17.365,30.629,3.85,17.365,30.434,0.272,40.183,48.118,1.943,2.0,2.0,triangular,1000000
Set 1 SP_EV54,9.5,19,20.583,2.97,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,13.601,23.959,3.16,13.601,23.769,0.269,31.597,36.398,1.908,2.0,2.0,triangular,1000000
Set 1 SP_EV55,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,12.478,23.616,3.509,12.478,23.288,0.4,32.451,37.42,1.573,2.0,2.0,triangular,1000000
Set 1 SP_EV56,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,17.328,28.039,2.778,17.328,27.946,0.182,34.803,40.444,2.092,2.0,2.0,triangular,1000000
Set 1 SP_EV57,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,14.374,24.362,3.007,14.374,24.155,0.382,32.253,37.66,1.681,2.0,2.0,triangular,1000000
Set 1 SP_EV58,12.0,24,26.0,3.46,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,17.502,29.262,3.56,17.502,29.067,0.324,38.377,45.937,2.031,2.0,2.0,triangular,1000000
Set 1 SP_EV59,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,15.174,26.236,3.114,15.174,26.057,0.292,34.002,40.665,1.91,2.0,2.0,triangular,1000000
Set 1 SP_EV60,13.5,27,29.25,3.91,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,19.445,33.905,4.21,19.445,33.659,0.29,44.375,52.058,1.758,2.0,2.0,triangular,1000000
Set 1 SP_EV61,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,16.41,30.584,4.448,16.41,30.271,0.336,41.67,49.438,1.961,2.0,2.0,triangular,1000000
Set 1 SP_EV62,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,18.618,31.485,3.786,18.618,31.329,0.221,40.696,48.182,3.965,2.0,2.0,triangular,1000000
Set 1 SP_EV63,12.5,25,27.083,3.75,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,16.051,29.864,4.209,16.051,29.564,0.333,40.401,48.794,4.682,2.0,2.0,triangular,1000000
Set 1 SP_EV64,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,16.064,26.382,2.941,16.064,26.289,0.137,33.242,37.721,4.02,2.0,2.0,triangular,1000000
Set 1 SP_EV65,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,11.589,22.65,3.684,11.589,22.209,0.503,32.252,37.541,2.501,2.0,2.0,triangular,1000000
Set 1 SP_EV66,9.5,19,20.583,2.77,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,15.276,25.651,2.639,15.276,25.548,0.207,32.144,36.601,2.578,2.0,2.0,triangular,1000000
Set 1 SP_EV67,9.5,19,20.583,3.09,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,11.55,23.102,3.478,11.55,22.936,0.235,31.434,36.673,2.473,2.0,2.0,triangular,1000000
Set 1 SP_EV68,8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,25.462,34.0,11.516,21.149,2.999,11.516,20.935,0.374,28.855,33.549,2.542,2.0,2.0,triangular,1000000
Set 1 SP_EV69,7.5,15,16.25,2.51,21.45,17.083,1.875,21.51,17.064,4.012,22.466,30.0,10.304,18.787,2.444,10.304,18.709,0.227,24.857,28.817,2.213,2.0,2.0,triangular,1000000
Set 1 SP_EV70,7.5,15,16.25,2.66,21.45,17.083,1.875,21.51,17.064,4.012,22.466,30.0,11.736,20.579,2.592,11.736,20.516,0.118,26.616,29.624,1.887,2.0,2.0,triangular,1000000
Set 1 SP_EV71,10.0,20,21.667,3.1,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,16.049,26.77,2.81,16.049,26.643,0.208,33.554,38.29,2.451,2.0,2.0,triangular,1000000
Set 1 SP_EV72,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,15.676,28.777,3.945,15.676,28.443,0.383,38.748,45.746,2.152,2.0,2.0,triangular,1000000
Set 1 SP_EV73,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,14.261,23.712,3.202,14.261,23.397,0.506,32.275,37.322,2.505,2.0,2.0,triangular,1000000
Set 1 SP_EV74,11.0,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,15.504,26.607,3.501,32.679,26.372,0.353,35.511,42.157,2.566,2.0,2.0,triangular,1000000
Set 1 SP_EV75,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,16.506,29.348,3.699,16.506,29.08,0.352,38.75,46.303,3.218,2.0,2.0,triangular,1000000
Set 1 SP_EV76,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,19.609,31.128,3.308,19.609,30.982,0.226,39.204,45.446,2.949,2.0,2.0,triangular,1000000
Set 1 SP_EV77,8.5,17,18.417,2.7,24.3,19.361,2.125,24.38,19.339,4.547,25.462,34.0,12.814,21.943,2.565,12.814,21.803,0.258,28.196,32.721,2.352,2.0,2.0,triangular,1000000
Set 1 SP_EV78,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,16.231,27.892,3.589,16.231,27.562,0.411,37.057,44.085,2.223,2.0,2.0,triangular,1000000
Set 1 SP_EV79,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,16.817,28.759,3.839,16.817,28.496,0.356,38.485,46.705,2.664,2.0,2.0,triangular,1000000
Set 1 SP_EV80,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,17.417,27.883,2.831,17.417,27.781,0.178,34.718,39.907,2.459,2.0,2.0,triangular,1000000
Set 1 SP_EV81,11.0,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,17.298,28.05,2.911,17.298,27.888,0.306,35.423,41.95,2.489,2.0,2.0,triangular,1000000
Set 1 SP_EV82,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,13.342,24.392,3.728,13.342,24.136,0.373,33.917,39.236,1.868,2.0,2.0,triangular,1000000
Set 1 SP_EV83,10.0,20,21.667,3.37,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,13.701,24.865,3.303,13.701,24.641,0.378,33.484,38.971,1.887,2.0,2.0,triangular,1000000
Set 1 SP_EV84,11.0,22,23.833,3.3,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,17.519,28.841,3.176,17.519,28.725,0.186,36.512,43.03,2.469,2.0,2.0,triangular,1000000
Set 1 SP_EV85,10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,14.078,26.432,3.508,14.078,26.311,0.19,34.903,40.101,1.999,2.0,2.0,triangular,1000000
Set 1 SP_EV86,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,16.37,29.842,4.036,16.37,29.57,0.345,40.076,47.976,2.06,2.0,2.0,triangular,1000000
Set 1 SP_EV87,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,20.072,33.036,3.59,20.072,32.862,0.261,41.997,50.031,2.218,2.0,2.0,triangular,1000000
Set 1 SP_EV88,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,16.097,27.959,3.485,16.097,27.688,0.394,36.983,44.11,2.146,2.0,2.0,triangular,1000000
Set 1 SP_EV89,11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,17.306,28.439,3.343,17.306,28.245,0.307,36.836,44.262,2.003,2.0,2.0,triangular,1000000
Set 1 SP_EV90,11.0,22,23.833,3.34,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,14.227,26.109,3.785,14.227,25.784,0.384,35.655,42.427,1.943,2.0,2.0,triangular,1000000
Set 1 SP_EV91,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,14.0,28.136,4.278,14.0,27.951,0.218,38.487,45.714,1.758,2.0,2.0,triangular,1000000
Set 1 SP_EV92,9.0,18,19.5,3.02,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,15.364,25.004,2.722,15.364,24.916,0.143,31.432,35.327,1.815,2.0,2.0,triangular,1000000
Set 1 SP_EV93,8.5,17,18.417,2.93,24.3,19.361,2.125,24.38,19.339,4.547,25.462,34.0,13.259,22.875,2.766,13.259,22.768,0.189,29.538,33.336,1.663,2.0,2.0,triangular,1000000
Set 1 SP_EV94,8.5,17,18.417,2.86,24.3,19.361,2.125,24.38,19.339,4.547,25.462,34.0,13.625,23.18,2.602,13.625,23.076,0.212,29.556,33.523,1.667,2.0,2.0,triangular,1000000
Set 1 SP_EV95,7.0,14,15.167,2.57,20.02,15.944,1.75,20.07,15.926,3.744,20.968,28.0,10.967,18.558,2.327,10.967,18.311,0.451,24.532,27.674,1.651,2.0,2.0,triangular,1000000
Set 1 SP_EV96,9.0,18,19.5,3.18,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,14.782,24.411,2.832,14.782,24.23,0.306,31.523,35.64,1.78,2.0,2.0,triangular,1000000
Set 1 SP_EV97,9.0,18,19.5,3.18,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,13.072,23.504,3.164,13.072,23.342,0.239,31.174,35.482,1.693,2.0,2.0,triangular,1000000
Set 1 SP_EV98,13.0,26,28.167,3.76,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,17.018,30.888,4.252,17.018,30.586,0.354,41.615,49.9,1.814,2.0,2.0,triangular,1000000
Set 1 SP_EV99,9.5,19,20.583,3.21,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,13.282,23.456,3.125,13.282,23.158,0.482,31.787,36.891,1.872,2.0,2.0,triangular,1000000
Set 1 SP_EV100,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,12.852,24.591,3.998,12.852,24.367,0.261,34.215,39.331,1.779,2.0,2.0,triangular,1000000
Set 1 SP_EV101,14.0,28,30.333,3.72,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,22.076,35.868,3.726,22.076,35.703,0.228,45.036,52.663,3.36,2.0,2.0,triangular,1000000
Set 1 SP_EV102,19.5,39,42.25,4.24,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,27.526,46.284,5.026,27.526,46.078,0.209,58.459,69.735,3.259,2.0,2.0,triangular,1000000
Set 1 SP_EV103,17.5,35,37.917,4.28,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,24.986,42.137,4.68,24.986,41.909,0.262,53.778,65.767,2.139,2.0,2.0,triangular,1000000
Set 1 SP_EV104,13.5,27,29.25,3.01,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,18.265,31.578,3.656,18.265,31.411,0.236,40.504,47.937,1.719,2.0,2.0,triangular,1000000
Set 1 SP_EV105,22.0,44,47.667,5.0,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,30.883,52.876,5.689,30.883,52.695,0.178,66.664,78.883,3.139,2.0,2.0,triangular,1000000
Set 1 SP_EV106,16.5,33,35.75,3.83,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,23.677,40.225,4.109,23.677,40.012,0.275,50.46,59.393,2.784,2.0,2.0,triangular,1000000
Set 1 SP_EV107,18.5,37,40.083,4.13,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,26.947,44.277,4.491,26.947,44.075,0.254,55.521,66.525,3.686,2.0,2.0,triangular,1000000
Set 1 SP_EV108,15.5,31,33.583,3.8,44.32,35.306,3.875,44.45,35.266,8.291,46.43,62.0,19.806,36.282,4.641,19.806,36.096,0.204,47.503,57.186,2.101,2.0,2.0,triangular,1000000
Set 1 SP_EV109,20.0,40,43.333,4.26,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,26.596,46.776,5.244,26.596,46.632,0.156,59.365,70.652,2.323,2.0,2.0,triangular,1000000
Set 1 SP_EV110,21.0,42,45.5,4.78,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,30.362,50.254,5.591,30.362,50.048,0.2,63.798,75.594,5.788,2.0,2.0,triangular,1000000
Set 1 SP_EV111,18.5,37,40.083,4.31,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,25.42,43.55,5.099,25.42,43.341,0.219,55.991,65.613,2.487,2.0,2.0,triangular,1000000
Set 1 SP_EV112,21.0,42,45.5,4.73,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,31.47,50.185,5.223,31.47,49.934,0.263,63.198,77.117,3.069,2.0,2.0,triangular,1000000
Set 1 SP_EV113,15.0,30,32.5,3.71,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,22.122,36.536,4.043,22.122,36.343,0.231,46.45,54.299,2.3,2.0,2.0,triangular,1000000
Set 1 SP_EV114,18.0,36,39.0,4.17,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,28.783,45.953,4.317,28.783,45.808,0.175,56.391,66.489,7.037,2.0,2.0,triangular,1000000
Set 1 SP_EV115,26.0,52,56.333,5.42,74.34,59.222,6.5,74.56,59.155,13.907,77.883,104.0,33.727,60.669,6.76,33.727,60.505,0.13,76.821,90.366,1.939,2.0,2.0,triangular,1000000
Set 1 SP_EV116,13.5,27,29.25,3.34,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,19.23,32.525,3.875,19.23,32.4,0.17,41.771,49.854,1.919,2.0,2.0,triangular,1000000
Set 1 SP_EV117,15.0,30,32.5,3.67,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,20.266,36.146,4.268,20.266,36.014,0.167,46.381,54.168,2.007,2.0,2.0,triangular,1000000
Set 1 SP_EV118,16.0,32,34.667,3.67,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,23.885,38.019,4.218,23.885,37.823,0.245,48.372,56.444,2.518,2.0,2.0,triangular,1000000
Set 1 SP_EV119,21.0,42,45.5,4.61,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,30.979,49.531,5.352,30.979,49.263,0.266,62.758,74.502,4.361,2.0,2.0,triangular,1000000
Set 1 SP_EV120,21.0,42,45.5,4.74,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,31.166,50.821,5.432,31.166,50.661,0.165,63.908,78.321,3.15,2.0,2.0,triangular,1000000
Set 1 SP_EV121,14.5,29,31.417,3.49,41.46,33.028,3.625,41.58,32.99,7.756,43.435,58.0,18.461,33.835,4.353,18.461,33.701,0.164,44.259,52.913,1.596,2.0,2.0,triangular,1000000
Set 1 SP_EV122,20.0,40,43.333,4.54,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,32.925,49.792,4.625,32.925,49.58,0.252,61.311,72.467,5.114,2.0,2.0,triangular,1000000
Set 1 SP_EV123,18.5,37,40.083,4.15,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,27.76,45.268,4.465,27.76,45.096,0.214,56.224,66.498,4.089,2.0,2.0,triangular,1000000
